area_type,"area_type(1,2)",location,location (Cityno.),size(1BHK-5BHK),society,society(361000-461000),total_sqft,bathroom,balcony,price
Plot  Area,1,Indira Nagar,4059,1,,370161,3139,4,2,525
Super built-up  Area,1,Whitefield,4060,4,Pae 1ov,398784,2970,2,1,70
Super built-up  Area,2,Ulsoor,4061,3,,362082,8695,3,3,185
Carpet  Area,1,Veerannapalya,4062,2,,414245,542,4,0,100
Plot  Area,2,Hebbal Kempapura,4063,5,,397919,5070,5,3,155
Super built-up  Area,1,Hosur Road,4064,2,Collsrn,393108,3109,2,2,36.5
Super built-up  Area,1,Jakkur,4065,1,Elidet ,395744,9781,2,1,49.87
Built-up  Area,2,Electronic City,4066,3,,448969,4867,2,1,40.44
Plot  Area,2,Bagalakunte,4067,4,,372729,3125,4,2,150
Super built-up  Area,1,Banashankari stage 2,4068,1,,364932,1690,2,1,77.25
Super built-up  Area,2,Doddanakundi Industrial Area 2,4069,4,,399344,9615,1,2,65.01
Built-up  Area,2,Subramanyapura,4070,5,Prldsri,420880,7930,2,1,48
Super built-up  Area,1,Jigani,4071,2,DLhtsen,397348,4345,3,3,61
Built-up  Area,2,Green Glen Layout,4072,1,Soionar,362108,7424,3,2,115
Super built-up  Area,2,Electronics City Phase 1,4073,5,Courf T,400234,2977,2,2,55
Plot  Area,1,TC Palaya,4074,1,,421258,9853,6,3,370
Built-up  Area,2,Indira Nagar,4075,1,,401979,6898,3,1,120
Super built-up  Area,1,Hennur Road,4076,5,Puachal,446414,4221,2,3,97
Super built-up  Area,2,Sector 7 HSR Layout,4077,2,,432881,4358,2,1,98.86
Super built-up  Area,1,Jalahalli,4078,5,BrardCo,393631,2613,3,2,140
Super built-up  Area,1,Whitefield,4079,3,BrlisCo,377611,9780,4,,284
Super built-up  Area,2,Chandapura,4080,4,SuVue S,422718,3458,1,1,14.04
Super built-up  Area,1,OLd Gurappanapalya,4081,1,SoliaMa,403455,9791,3,2,160
Super built-up  Area,1,Prithvi Layout,4082,3,Prlmsge,436266,2101,2,2,75
Super built-up  Area,1,Electronic City,4083,3,Prarkun,396840,6663,2,1,65
Built-up  Area,1,"ECC Road, Whitefield, ",4084,2,,382373,2533,3,2,93
Super built-up  Area,2,Hegde Nagar,4085,1,SoitaCa,454278,3062,4,2,125
Built-up  Area,2,Ramanjaneyanagar,4086,4,Siite E,445238,7126,2,2,70
Plot  Area,1,Sarjapur  Road,4087,4,,403259,4502,4,,120
Super built-up  Area,2,Marathahalli,4088,3,,450292,9900,2,1,47
Super built-up  Area,2,Hoskote,4089,5,Thiced ,440568,924,3,3,60
Plot  Area,2,Kanakpura Road,4090,1,,437248,5848,6,3,65
Super built-up  Area,2,Neeladri Nagar,4091,2,,413737,9272,2,0,35
Carpet  Area,1,Chikkadunnasandra,4092,2,,410733,6257,2,2,50
Super built-up  Area,1,Ramamurthy Nagar,4093,3,,405499,8633,2,2,51
Super built-up  Area,1,Whitefield,4094,3,,399170,5367,2,3,79
Super built-up  Area,1,Bommanahalli,4095,4,,438531,8379,3,2,55
Built-up  Area,2,Bannerghatta Road,4096,2,Dhncyud,455407,4924,3,2,90
Super built-up  Area,2,Kanakapura,4097,1,GoityEt,376851,3932,2,1,59
Super built-up  Area,1,Uttarahalli,4098,1,Evood S,378031,8962,2,2,60
Super built-up  Area,1,Garudachar Palya,4099,5,,421007,9142,2,1,52.8
Super built-up  Area,1,Akshya Nagar,4100,3,,450892,2527,2,1,75
Super built-up  Area,2,Hebbal,4101,4,Raard B,446766,7561,3,2,117
Super built-up  Area,2,Babusapalaya,4102,4,,406770,1089,2,1,45.9
Super built-up  Area,1,7th Phase JP Nagar,4103,3,BriumMi,368895,2136,2,2,82.5
Super built-up  Area,2,Banashankari Stage V,4104,5,,453849,2547,2,1,61
Built-up  Area,2,Dasarahalli,4105,3,Syonyph,375582,1703,2,0,70
Super built-up  Area,1,Indranagar  100ft road defence colony,4106,2,,430736,6560,5,,80
Built-up  Area,2,Canara Bank Colony,4107,1,,438385,2949,2,2,45
Super built-up  Area,2,Balagere,4108,5,Soresea,444322,2539,2,1,65
Super built-up  Area,2,Wajid layout thanisandra,4109,5,,438704,5003,5,2,100
Super built-up  Area,1,Kothanur,4110,2,,458890,6907,3,3,70
Super built-up  Area,1,Marathahalli,4111,4,PueraRi,413219,1510,4,3,220
Built-up  Area,2,Somasundara Palya,4112,1,ManceEl,445601,4978,3,,140
Plot  Area,1,R.T. Nagar,4113,5,,383699,5702,6,,240
Super built-up  Area,2,BTM Layout,4114,1,,425796,6568,3,2,10
Plot  Area,2,Rajaji Nagar,4115,4,,415911,2866,2,0,150
Super built-up  Area,2,Rayasandra,4116,2,,391165,7620,2,1,58
Super built-up  Area,1,Dodda Nekkundi,4117,3,,386963,3288,2,2,48
Super built-up  Area,1,B Channasandra,4118,5,PrncyRe,383337,8160,2,1,45
Super built-up  Area,1,Electronic City,4119,3,GMown E,400115,7441,2,1,60
Super built-up  Area,1,Kadubeesanahalli,4120,3,PrpiaSr,425462,7025,3,1,115
Super built-up  Area,2,Hennur,4121,2,MDncyhi,386827,2933,2,2,42.12
Plot  Area,2,Laxmi Sagar Layout,4122,2,Pudgear,382628,9432,3,3,250
Super built-up  Area,1,Tumkur Road,4123,1,Coowsri,382176,8194,2,0,48.905
Super built-up  Area,2,Thanisandra,4124,5,MenueNo,416488,4860,2,2,51.6
Plot  Area,1,Rajaji Nagar,4125,2,,361824,6509,1,0,163
Super built-up  Area,1,ITPL,4126,4,,373060,3234,5,2,205
Plot  Area,1,Achins Road,4127,1,,391040,5098,7,0,410
Built-up  Area,1,Uvce Layout,4128,1,,456728,2351,2,2,100
Super built-up  Area,2,Panduranga Nagar,4129,4,SApusnu,447493,3947,3,3,100
Super built-up  Area,2,HRBR Layout,4130,3,Srayatr,431139,9456,2,1,75
Super built-up  Area,2,New Thippasandra,4131,3,Srmitev,460537,6818,3,3,95
Super built-up  Area,1,Rachenahalli,4132,2,,453559,9111,2,2,53.5
Super built-up  Area,1,Hebbal,4133,3,Oztarol,402893,2530,2,1,88.73
Super built-up  Area,1,HSR Layout,4134,5,RotatHa,439773,9458,2,2,115
Super built-up  Area,2,Electronic City,4135,1,Prarkun,437367,4398,2,1,65.5
Super built-up  Area,1,Budigere,4136,5,PrityTr,456447,9228,3,2,93
Super built-up  Area,2,Thigalarapalya,4137,5,Prtanha,367573,1933,4,2,159
Super built-up  Area,1,Raja Rajeshwari Nagar,4138,2,Dehts H,446926,7374,2,3,59
Super built-up  Area,2,Hoodi,4139,3,SMaxyay,381531,5879,2,3,114
Plot  Area,1,Hennur Road,4140,4,LGapeon,404608,4156,2,2,225
Super built-up  Area,2,Thigalarapalya,4141,3,Prtanha,374878,5299,4,2,147
Super built-up  Area,2,Kumaraswami Layout,4142,1,GancyRe,459514,9207,2,2,36
Plot  Area,1,KR Puram,4143,1,Salle F,369860,2336,3,2,145
Super built-up  Area,2,Sahakara Nagar,4144,3,ArrdsOr,431970,2560,2,3,56
Super built-up  Area,2,Gattigere,4145,5,Vaw 2il,442709,4496,2,2,63
Built-up  Area,1,Benson Town,4146,5,Fants A,385651,5343,3,1,180
Built-up  Area,2,NRI Layout,4147,1,,456044,8338,2,0,59
Super built-up  Area,1,Lakshminarayana Pura,4148,2,,437458,8757,2,1,75
Super built-up  Area,1,Bisuvanahalli,4149,3,Prityel,382572,8838,2,1,46
Super built-up  Area,2,Roopena Agrahara,4150,3,,418302,1729,3,2,47
Built-up  Area,2,Bannerghatta Road,4151,5,,434407,5088,2,0,40
Super built-up  Area,2,Kanakpura Road,4152,3,PrarePa,398573,2294,3,2,69
Super built-up  Area,1,Banashankari Stage III,4153,4,Pridsi ,418719,5988,2,1,59
Super built-up  Area,1,Hegde Nagar,4154,4,SoisoCa,454878,1592,4,2,196
Super built-up  Area,2,Jakkur,4155,2,BrdgeNo,379550,1454,2,1,80
Super built-up  Area,2,Hoskote,4156,4,VRrtsa ,460665,9669,2,3,45
Plot  Area,2,Cottonpet,4157,4,,450524,3763,2,2,135
Super built-up  Area,1,Yelachenahalli,4158,1,Coona A,393992,6039,2,3,78
Super built-up  Area,2,Lakshminarayana Pura,4159,5,RothaVa,364074,2723,2,2,75
Built-up  Area,2,Kamakshipalya,4160,5,Viaxy G,400110,623,2,0,60
Built-up  Area,1,Hormavu,4161,3,Cadel C,439950,1891,3,2,85
Super built-up  Area,1,Kanakpura Road,4162,2,PrarePa,365037,7629,2,1,40
Built-up  Area,2,Yemlur,4163,5,Epllan ,421360,6191,5,,2050
Super built-up  Area,2,Hoodi,4164,2,GoAirej,443878,5881,2,1,88
Super built-up  Area,1,Somasundara Palya,4165,1,ManceEl,418979,5819,2,,78
Super built-up  Area,1,Badavala Nagar,4166,5,DNncasa,380870,2167,2,1,81
Super built-up  Area,1,Doddathoguru,4167,3,Vabow R,417549,2100,2,1,32
Plot  Area,1,6th Phase JP Nagar,4168,2,,449615,2650,6,2,135
Super built-up  Area,1,Hosur Road,4169,2,Collsrn,459618,4510,1,2,21.28
Built-up  Area,1,Maragondanahalli,4170,3,ArnzaFi,446824,6598,3,2,68
Super built-up  Area,1,P&T Layout,4171,2,,425724,9394,2,3,38.5
Super built-up  Area,2,Basavanna Nagar,4172,3,Itala A,389670,7598,3,2,95
Plot  Area,2,Canara Bank Layout,4173,2,,364984,9494,4,2,170
Plot  Area,1,singapura paradise,4174,4,,429775,7379,4,1,140
Super built-up  Area,1,Nehru Nagar,4175,5,Undge T,422951,2417,3,2,115
Super built-up  Area,2,Kannur,4176,3,,433144,8057,2,1,55
Super built-up  Area,1,Yelenahalli,4177,3,MDoseim,403396,7686,2,2,33
Plot  Area,1,Raja Rajeshwari Nagar,4178,5,,424233,3966,8,,225
Super built-up  Area,2,Kanakpura Road,4179,1,,436558,6902,3,3,54.3
Super built-up  Area,1,Thirumenahalli,4180,5,MNtha A,375443,4079,2,2,36.69
Super built-up  Area,1,Dollars Colony,4181,2,Koowsis,405570,6919,2,3,65
Built-up  Area,1,Uttarahalli,4182,1,Gaent R,386811,7120,2,2,35
Super built-up  Area,2,Green Glen Layout,4183,3,Soionar,448539,5968,3,2,115
Super built-up  Area,2,Basavangudi,4184,1,Shntsad,370723,4999,3,,317
Super built-up  Area,1,Electronic City,4185,5,GMown E,430984,8075,2,1,59
Super built-up  Area,1,8th Phase JP Nagar,4186,1,,455515,1824,2,2,38
Super built-up  Area,2,Kasavanhalli,4187,5,,446649,546,2,1,50.3
Plot  Area,1,4th Block Koramangala,4188,4,,391740,9958,4,0,550
Super built-up  Area,2,Banashankari,4189,3,Sriseva,362740,1467,2,1,78
Plot  Area,2,Whitefield,4190,3,Vastael,443264,5752,4,3,200
Carpet  Area,2,Kanakpura Road,4191,4,Roiti A,368742,1149,1,0,19.695
Super built-up  Area,2,Marathahalli,4192,5,,431240,4380,2,1,57
Built-up  Area,2,Kalyan nagar,4193,3,SSonsvi,393720,2542,3,3,88
Super built-up  Area,2,Banashankari,4194,1,Bregae ,395145,5435,3,2,125
Super built-up  Area,1,Bommasandra,4195,5,Niara S,405315,3218,2,,44
Super built-up  Area,2,Defence Colony,4196,1,Masta A,391351,1938,4,,986
Super built-up  Area,1,Banashankari,4197,2,,447299,5133,2,2,40.79
Plot  Area,2,Nagarbhavi,4198,3,,454243,7546,2,1,150
Built-up  Area,2,Yelahanka,4199,2,,429203,5318,2,2,95
Built-up  Area,1,Cambridge Layout,4200,1,,411076,2288,3,1,165
Super built-up  Area,1,Kanakapura,4201,3,SPavenc,388331,2687,2,2,38.85
Super built-up  Area,2,Uttarahalli,4202,4,Baveles,411172,6009,3,2,88
Built-up  Area,1,Byagadadhenahalli,4203,2,VBavaai,424378,9634,2,1,22
Plot  Area,1,Whitefield,4204,1,Prrry M,421753,2256,4,2,285
Super built-up  Area,1,Hosa Road,4205,4,Pamesy ,396327,1686,2,1,52
Super built-up  Area,1,Hennur Road,4206,3,Gaodsch,383935,4208,2,2,82.5
Super built-up  Area,1,Tumkur Road,4207,1,SosonGa,454619,6109,3,3,100
Super built-up  Area,1,Hebbal Kempapura,4208,3,GonumPl,458030,9262,5,,360
Super built-up  Area,1,Marathahalli,4209,4,Srconor,418544,8145,2,2,58
Super built-up  Area,2,Raja Rajeshwari Nagar,4210,2,GrrvaGr,397338,1463,2,1,48.79
Super built-up  Area,1,Malleshwaram,4211,3,Sariaat,453202,3150,,,293
Built-up  Area,1,Jayanagar,4212,5,,374385,8986,2,2,110
Built-up  Area,1,Amruthahalli,4213,2,NCondia,370992,1012,2,1,45
Super built-up  Area,2,Kengeri Satellite Town,4214,3,Mameser,441864,2811,1,1,22
Super built-up  Area,1,Ardendale,4215,2,AWharde,370041,4470,3,,140
Built-up  Area,2,Thanisandra,4216,5,G conTh,457682,675,4,1,130
Plot  Area,2,Vidyaranyapura,4217,3,,456338,2772,3,2,78
Super built-up  Area,2,Old Madras Road,4218,4,Saesttt,414425,8829,2,2,75
Super built-up  Area,1,Sarjapur,4219,2,,451426,4218,3,3,85
Super built-up  Area,2,8th Phase JP Nagar,4220,5,,361198,7776,2,2,34.5
Super built-up  Area,2,Panathur,4221,4,Saite G,361747,8901,2,1,59.1
Super built-up  Area,2,Jakkur,4222,4,BrdgeNo,374849,3588,3,2,110
Built-up  Area,2,Sampangi Rama Nagar,4223,5,,447662,7615,2,1,125
Super built-up  Area,1,Hennur Road,4224,2,Koagati,411665,6134,2,1,62
Super built-up  Area,1,Hebbal,4225,1,Raard B,436540,7238,3,2,121
Super built-up  Area,1,Whitefield,4226,1,Veales ,430027,6636,2,2,72
Super built-up  Area,1,Whitefield,4227,5,Oreldhi,406355,1861,1,0,34.385
Super built-up  Area,1,Whitefield,4228,2,,450077,571,2,1,77
Built-up  Area,1,Cooke Town,4229,1,,407540,3739,4,3,239
Super built-up  Area,1,Hosa Road,4230,2,Sosisic,453485,4069,2,1,104
Super built-up  Area,1,Jalahalli West,4231,2,,446678,646,2,3,75
Built-up  Area,2,Bannerghatta Road,4232,1,,409292,1576,2,2,65
Super built-up  Area,1,Kanakapura,4233,3,GoityEt,361107,9076,3,3,113
Super built-up  Area,2,Begur Road,4234,3,,430877,2652,4,3,124
Super built-up  Area,2,Budigere,4235,4,PrityTr,417462,539,3,2,85
Super built-up  Area,1,Akshaya Nagar,4236,5,DLhtsnd,450878,9205,2,2,75
Super built-up  Area,1,BEML Layout 5th stage,4237,3,,371393,3135,3,2,85
Carpet  Area,1,Electronic City Phase II,4238,5,MJtroty,370163,1458,2,2,50
Plot  Area,1,Laggere,4239,2,,411881,3746,4,1,150
Super built-up  Area,2,Kanakpura Road,4240,3,,367485,1817,3,3,88
Super built-up  Area,1,Yelahanka,4241,5,Shana S,431853,1165,2,2,78
Plot  Area,1,Anjanapura,4242,3,,407312,8181,3,1,121
Built-up  Area,1,Koramangala,4243,1,,396215,8044,3,3,290
Plot  Area,2,Hunasamaranahalli,4244,1,EmardBo,402172,2157,4,2,900
Super built-up  Area,2,Marathahalli,4245,1,,433546,3327,3,3,86.45
Super built-up  Area,1,Panathur,4246,4,Suriaa ,428928,4462,2,1,63
Super built-up  Area,1,Pragathi Nagar,4247,3,Metrais,400258,9673,2,1,49.75
Built-up  Area,1,Sarjapur,4248,5,,361288,1627,3,1,185
Plot  Area,1,Banashankari,4249,2,,370860,6384,9,1,145
Plot  Area,1,Devanahalli,4250,4,Prowser,460021,4042,3,2,180
Super built-up  Area,1,Kothanur,4251,4,,413951,9446,3,3,71
Super built-up  Area,1,Marathahalli,4252,3,Unezes ,377928,3604,1,1,35
Super built-up  Area,2,Kammasandra,4253,5,,418959,4284,2,0,25
Plot  Area,2,Varthur,4254,4,,414900,9700,5,2,300
Plot  Area,1,Sahakara Nagar,4255,5,,435969,9880,5,,160
Super built-up  Area,2,Malleshwaram,4256,5,,452372,8494,3,1,237
Super built-up  Area,2,JP Nagar,4257,3,,432644,4352,4,2,140
Super built-up  Area,2,Electronic City Phase II,4258,5,Coomee ,411777,8467,3,2,52.47
Built-up  Area,1,Ramesh Nagar,4259,5,,439217,3974,1,2,160
Built-up  Area,1,EPIP Zone,4260,4,ValiaCa,366246,673,2,1,65
Super built-up  Area,1,CV Raman Nagar,4261,5,Pu270a ,434008,1025,3,2,126
Super built-up  Area,2,Whitefield,4262,2,Veales ,425322,8213,2,3,79.5
Built-up  Area,2,JP Nagar,4263,1,,394356,1644,4,2,140
Super built-up  Area,2,HAL 2nd Stage,4264,4,MamalPr,442909,9929,2,2,300
Plot  Area,1,8th block Koramangala,4265,4,,372560,4612,3,1,300
Super built-up  Area,1,Whitefield,4266,3,Oreldhi,401101,4730,2,1,52.7
Super built-up  Area,1,Yelahanka,4267,1,Masser ,443692,1933,2,2,80.54
Super built-up  Area,1,Sathya Sai Layout,4268,1,Prowshi,402687,1461,4,3,360
Built-up  Area,2,Rajaji Nagar,4269,5,,389620,3778,4,0,375
Plot  Area,1,Mahadevpura,4270,3,,428463,9907,4,2,260
Plot  Area,2,A Narayanapura,4271,1,,404438,4118,3,1,110
Plot  Area,2,Whitefield,4272,2,,407914,2055,3,1,61.96
Built-up  Area,2,Poorna Pragna Layout,4273,5,Pathira,420241,9298,2,2,48
Plot  Area,1,Gottigere,4274,4,,417969,3842,1,1,26
Super built-up  Area,2,KR Puram,4275,2,HovasTe,383656,3299,2,2,43
Super built-up  Area,2,Whitefield,4276,3,SSthamh,404675,9076,2,2,41
Super built-up  Area,2,HSR Layout,4277,2,NRosete,382238,5679,2,2,48
Super built-up  Area,1,Haralur Road,4278,1,,435206,9743,2,1,44
Super built-up  Area,1,Silk Board,4279,2,,433162,1558,2,2,49.85
Plot  Area,1,Hegde Nagar,4280,5,,449919,1933,2,0,75
Super built-up  Area,1,Kenchenahalli,4281,5,AriosPa,397343,3838,2,2,58
Plot  Area,2,Kaggalipura,4282,1,AxvamTa,397886,6460,3,1,165
Plot  Area,1,Whitefield,4283,5,Prrry M,384762,2619,4,3,306
Built-up  Area,2,7th Phase JP Nagar,4284,5,,426723,2819,4,3,160
Super built-up  Area,1,Puttanahalli,4285,1,,447439,5670,2,2,52
Super built-up  Area,1,JP Nagar,4286,5,Shestut,441500,1243,2,1,109
Built-up  Area,2,Hebbal Kempapura,4287,1,Goateds,373906,5219,2,2,102
Super built-up  Area,1,Hosa Road,4288,2,Sosisic,371691,2340,3,1,123
Carpet  Area,1,Bhoganhalli,4289,2,Rosha I,420985,8439,3,1,88.91
Super built-up  Area,1,Yeshwanthpur,4290,2,VSlistr,439705,2191,1,0,41.745
Super built-up  Area,2,Hormavu,4291,2,NStusD ,448978,9516,2,1,65
Plot  Area,1,Virat Nagar,4292,1,,439079,5307,2,1,150
Super built-up  Area,2,Hulimavu,4293,4,RatosAr,365641,8336,2,2,69
Built-up  Area,1,Bannerghatta Road,4294,5,,398683,2618,5,,260
Super built-up  Area,2,Marathahalli,4295,2,PueraRi,409180,3344,3,3,109
Super built-up  Area,2,Kundalahalli Colony,4296,4,Goourta,424149,1962,2,2,90
Super built-up  Area,1,Kathriguppe,4297,1,,414033,5081,2,2,75.08
Plot  Area,2,Dwarka Nagar,4298,1,,425085,9908,3,3,95.75
Super built-up  Area,1,Amblipura,4299,3,IDldsin,448106,7880,4,3,148
Built-up  Area,2,Magadi Road,4300,1,,420430,4813,1,0,35
Super built-up  Area,2,Subramanyapura,4301,4,Mayne A,370654,6099,2,1,63
Super built-up  Area,2,Doddagubbi,4302,4,,444916,6346,2,3,39
Super built-up  Area,1,Gopalkrishna Nagar,4303,1,MJarlPe,381422,5777,2,1,97
Super built-up  Area,2,Kereguddadahalli,4304,2,DSdorSp,453998,1184,2,2,39
Super built-up  Area,2,Channasandra,4305,1,,376000,8339,2,1,40
Super built-up  Area,1,Sarjapur  Road,4306,1,SJityaz,399600,8723,2,1,83
Super built-up  Area,1,Parappana Agrahara,4307,1,Peide L,365566,3371,2,2,47
Super built-up  Area,2,Uttarahalli,4308,5,,383336,4033,2,2,59.6
Plot  Area,2,Bannerghatta Road,4309,2,,401031,8470,4,0,450
Super built-up  Area,2,Sarjapur  Road,4310,5,Brareio,445804,9899,3,1,91
Super built-up  Area,2,Rajaji Nagar,4311,5,Puwerun,366411,6699,2,0,112
Super built-up  Area,1,Raja Rajeshwari Nagar,4312,1,GrrvaGr,380637,7556,2,2,42.85
Super built-up  Area,2,Balagere,4313,3,Soresea,421416,9027,1,1,53
Plot  Area,2,Dodda Nekkundi,4314,4,Adstah ,447721,981,4,3,530
Built-up  Area,2,Garudachar Palya,4315,3,NatanNi,453671,7410,5,,400
Plot  Area,2,Chandapura,4316,1,,406195,7185,1,1,36
Super built-up  Area,2,Thanisandra,4317,5,Soitya ,373089,4240,3,2,102
Built-up  Area,2,Tata Nagar,4318,2,Karchru,457398,1048,3,2,70
Plot  Area,2,Sunkadakatte,4319,1,,451983,6491,5,0,80
Super built-up  Area,2,Electronic City,4320,1,Prarkun,385181,672,2,1,65.75
Super built-up  Area,2,Raja Rajeshwari Nagar,4321,4,,425832,5976,1,0,21
Super built-up  Area,1,Pattandur Agrahara,4322,3,ShaleSp,399494,7654,2,2,42
Super built-up  Area,2,Rajarajeshwari nagar,4323,2,,405134,2885,2,2,45.12
Built-up  Area,1,Akshaya Nagar,4324,3,DLhtsnd,441495,9534,2,3,73
Super built-up  Area,2,Amruthahalli,4325,4,,455056,5288,2,1,55
Super built-up  Area,1,AECS Layout,4326,4,,438184,5347,3,3,65
Super built-up  Area,2,Gottigere,4327,2,Drente ,409199,3737,2,1,40
Super built-up  Area,2,Sarjapur  Road,4328,1,,419579,7884,2,1,45
Super built-up  Area,2,Bannerghatta Road,4329,1,Saavenc,426034,843,2,0,39
Built-up  Area,2,Ramamurthy Nagar,4330,1,,395779,4520,2,1,65
Super built-up  Area,2,Whitefield,4331,2,Rabow R,432633,3479,2,1,35
Super built-up  Area,1,Rajarajeshwarinagar,4332,1,,362826,4579,3,2,85
Super built-up  Area,2,Budigere,4333,1,PrityTr,410270,8818,2,2,70
Super built-up  Area,1,Whitefield,4334,4,Nillsre,370422,6927,2,3,67
Plot  Area,2,Jinkethimmanahalli,4335,4,,409063,7423,2,1,130
Super built-up  Area,1,Daadys Gaarden Layout,4336,4,InockHo,375549,2972,3,3,72
Super built-up  Area,2,Whitefield,4337,2,SMuilan,405446,8186,2,1,41.36
Super built-up  Area,2,Electronic City,4338,3,S2oveat,381087,2457,3,0,45.03
Super built-up  Area,2,Frazer Town,4339,2,Prook M,442448,8668,3,2,265
Super built-up  Area,2,Kanakpura Road,4340,4,,447799,6679,2,1,37.8
Plot  Area,2,Dasarahalli,4341,1,,425623,7300,3,3,150
Super built-up  Area,2,Talaghattapura,4342,1,Sodgere,449966,5963,3,2,135
Super built-up  Area,2,Haralur Road,4343,4,NRowse ,393702,9314,3,2,56
Plot  Area,2,Vishwapriya Nagar,4344,4,,434160,5857,6,2,71
Super built-up  Area,1,Sarjapur  Road,4345,5,Itvas S,426979,3368,2,2,77
Plot  Area,1,Abbigere,4346,4,,453124,9934,4,1,98
Super built-up  Area,1,Whitefield,4347,1,Prtates,414234,8864,,,113.19
Super built-up  Area,1,5th Phase JP Nagar,4348,2,MBncele,372162,7444,2,2,67
Super built-up  Area,2,Vimanapura,4349,4,Inion P,426156,2709,3,3,75
Plot  Area,1,Whitefield,4350,4,,457046,9866,2,1,45
Super built-up  Area,1,Hennur Road,4351,4,Koagati,380867,1970,2,1,59.46
Plot  Area,1,Whitefield,4352,2,VDe 1Du,405491,5371,5,3,270
Super built-up  Area,2,Dodsworth Layout,4353,1,Ciques ,437572,7166,2,2,80
Super built-up  Area,1,Bommanahalli,4354,5,,458077,783,2,2,33
Built-up  Area,2,Kodichikkanahalli,4355,1,Saire S,411335,8339,2,3,48
Super built-up  Area,2,Kenchenahalli,4356,5,AriosPa,362478,9687,1,1,45
Plot  Area,1,Magadi Road,4357,4,,386266,2700,4,0,130
Plot  Area,2,Rajaji Nagar,4358,1,,391911,6756,3,1,260
Super built-up  Area,1,Jakkur,4359,1,UNERA P,362676,6716,4,2,130
Plot  Area,2,1st Stage Radha Krishna Layout,4360,2,,406843,8198,5,1,250
Super built-up  Area,1,Hormavu,4361,3,,367685,8715,2,2,43.58
Built-up  Area,2,Nagarbhavi,4362,1,Vaows M,444529,4165,2,1,85
Super built-up  Area,2,Padmanabhanagar,4363,5,Naasyak,368426,2528,3,0,65
Super built-up  Area,2,Whitefield,4364,2,Mithmn ,362213,1915,3,1,140
Super built-up  Area,1,Kanakpura Road,4365,2,PrityFa,392282,7934,3,1,120
Super built-up  Area,2,Nagarbhavi,4366,5,Deens G,416315,6562,2,1,79
Built-up  Area,1,Marathahalli,4367,4,,425082,7488,3,3,200
Super built-up  Area,1,Chandapura,4368,5,SunceEs,414215,6327,2,1,24.86
Super built-up  Area,1,Yeshwanthpur,4369,1,IBityin,379601,1176,2,2,76.18
Plot  Area,2,Nagasandra,4370,3,,365109,2676,5,2,350
Super built-up  Area,1,Sector 1 HSR Layout,4371,4,SodilDa,430940,3271,3,2,150
Super built-up  Area,1,Cunningham Road,4372,3,Lelia M,447223,3913,3,1,763
Super built-up  Area,2,Amarjyothi Colony,4373,4,,451622,1970,2,2,38
Super built-up  Area,1,Dairy Circle,4374,1,Soeurri,433770,6832,6,2,450
Super built-up  Area,2,Banashankari Stage II,4375,5,,382311,6256,2,1,120
Super built-up  Area,1,Yelahanka,4376,3,Rarthne,452561,4004,2,2,64.5
Super built-up  Area,2,Begur Road,4377,1,Dhalsh ,439109,2166,2,2,42.92
Built-up  Area,1,Chandapura,4378,1,,373469,3936,1,1,27
Plot  Area,2,MS Pallya,4379,1,,456168,3065,9,3,350
Plot  Area,1,Vidyaranyapura,4380,2,,375060,5557,7,3,130
Built-up  Area,1,Whitefield,4381,2,,395399,6237,4,3,400
Super built-up  Area,2,Kanakpura Road,4382,5,JRrnauv,394597,752,3,3,60.98
Super built-up  Area,1,Whitefield,4383,1,SBoneuc,363844,5940,2,2,84.5
Built-up  Area,2,Gunjur,4384,4,Puide P,390578,7961,2,2,40
Super built-up  Area,1,Harlur,4385,1,Prncyrn,449456,3761,2,1,78
Plot  Area,1,Seegehalli,4386,2,,392294,2991,2,0,72
Super built-up  Area,2,Thanisandra,4387,1,Bhe 2ko,368289,3831,3,1,93.04
Super built-up  Area,1,Jalahalli West,4388,2,Prntsax,403988,3084,2,0,50
Super built-up  Area,1,Kereguddadahalli,4389,1,Jaood G,367499,6675,2,2,30
Super built-up  Area,2,Jigani,4390,5,DLhtsen,453818,4768,2,1,50
Built-up  Area,2,Yeshwanthpur,4391,2,IBityin,445717,3155,2,2,32
Super built-up  Area,1,Battarahalli,4392,3,Srhamra,457278,686,2,2,45
Built-up  Area,2,Devasthanagalu,4393,4,Grmes L,454894,954,3,2,70
Super built-up  Area,2,Yemlur,4394,3,,416819,879,2,1,95
Super built-up  Area,2,Avalahalli,4395,5,ZeodsWo,379459,4738,1,1,49
Built-up  Area,1,Bapuji Layout,4396,5,,408174,4449,8,,275
Plot  Area,1,Cambridge Layout,4397,1,,455170,9089,5,1,450
Super built-up  Area,2,Ramamurthy Nagar,4398,3,Vaharvi,417627,5502,2,1,48
Super built-up  Area,1,Yeshwanthpur,4399,5,IBityin,374853,6237,1,1,36.85
Plot  Area,1,7th Phase JP Nagar,4400,4,,419564,7292,4,2,105
Super built-up  Area,2,Koramangala,4401,5,SRidsrc,379095,3176,3,,125
Super built-up  Area,2,Kothanur,4402,4,Somumys,418346,8500,3,2,105
Super built-up  Area,1,NGR Layout,4403,2,,403576,673,2,1,45
Plot  Area,2,Doddanekundi,4404,2,,418559,9077,5,1,850
Super built-up  Area,1,Vasantapura main road,4405,5,,411565,8135,2,1,36.28
